rank,feature,gain,split_count
1,zip_code,19424.59422492981,322
2,earliest_cr_line,14859.617345809937,273
3,int_rate,12362.96489906311,51
4,annual_inc,4427.7735271453857,57
5,sub_grade,3280.0441188812256,21
6,purpose,1558.8233013153076,26
7,loan_to_inc_ratio,1059.1768951416016,29
8,acc_open_past_24mths,1055.0789966583252,23
9,bc_open_to_buy,590.84830093383789,16
10,inq_last_6mths,485.40509796142578,11
11,mths_since_recent_bc,276.04439926147461,9
12,total_bc_limit,243.12399864196777,8
13,revol_util,229.2216968536377,9
14,dti,224.68330097198486,9
15,revol_bal,211.6481990814209,8
16,addr_state,199.65220069885254,9
17,installment,159.23609924316406,6
18,mo_sin_rcnt_rev_tl_op,123.53330039978027,5
19,open_acc_ratio,90.665897369384766,4
20,loan_amnt,70.90730094909668,3
21,mo_sin_rcnt_tl,65.988500595092773,3
22,total_bal_ex_mort,65.912500381469727,3
23,mths_since_recent_inq,58.670600891113281,2
24,mths_since_last_delinq,58.24949836730957,3
25,tot_cur_bal,53.652200698852539,2
26,pct_tl_nvr_dlq,52.788400650024414,2
27,avg_cur_bal,43.154699325561523,2
28,total_bal_to_inc_ratio,42.240398406982422,2
29,num_il_tl,41.103099822998047,1
30,emp_length_num,39.261299133300781,2
31,num_actv_rev_tl,36.965801239013672,1
32,num_bc_sats,36.37139892578125,1
33,bc_util,32.257801055908203,1
34,tot_hi_cred_lim,28.025699615478516,1
35,verification_status,22.449300765991211,1
36,mo_sin_old_rev_tl_op,21.998199462890625,1
37,percent_bc_gt_75,20.740200042724609,1
38,total_rev_hi_lim,17.629999160766602,1
39,mort_acc,17.179100036621094,1
40,acc_now_delinq,0,0
41,application_type,0,0
42,chargeoff_within_12_mths,0,0
43,collections_12_mths_ex_med,0,0
44,delinq_2yrs,0,0
45,delinq_amnt,0,0
46,emp_length,0,0
47,grade,0,0
48,home_ownership,0,0
49,initial_list_status,0,0
50,log_annual_inc,0,0
51,log_loan_amnt,0,0
52,mo_sin_old_il_acct,0,0
53,num_accts_ever_120_pd,0,0
54,num_actv_bc_tl,0,0
55,num_bc_tl,0,0
56,num_op_rev_tl,0,0
57,num_rev_accts,0,0
58,num_rev_tl_bal_gt_0,0,0
59,num_sats,0,0
60,num_tl_120dpd_2m,0,0
61,num_tl_30dpd,0,0
62,num_tl_90g_dpd_24m,0,0
63,num_tl_op_past_12m,0,0
64,open_acc,0,0
65,policy_code,0,0
66,pub_rec,0,0
67,pub_rec_bankruptcies,0,0
68,tax_liens,0,0
69,term,0,0
70,tot_coll_amt,0,0
71,total_acc,0,0
72,total_il_high_credit_limit,0,0
