loan_amnt,int_rate,annual_inc,dti,revol_util,total_acc,open_acc,inq_last_6mths,actual,risk_score
20000,22.35,29700.0,37.66,20.3,11,7,0,0,0.4657204068813049
38875,6.46,157000.0,15.39,7.0,24,15,0,0,0.2933759803236715
32000,15.02,154000.0,8.93,60.6,26,19,2,0,0.3438991757314114
14000,10.33,39000.0,17.11,45.5,19,5,1,0,0.6513371856807106
4400,13.56,66000.0,3.02,82.0,9,4,0,0,0.6200861247534111
15000,14.47,67500.0,16.98,50.4,16,15,1,0,0.29937317575612865
20000,25.34,100000.0,33.75,65.5,25,15,0,0,0.31023273074776075
25000,16.14,58000.0,19.35,31.2,17,14,0,0,0.24391596863528778
24000,17.97,190000.0,15.27,75.3,22,18,1,0,0.3420385781320871
32000,8.19,160000.0,14.46,12.0,19,8,0,0,0.5784677227142279
10000,10.08,63000.0,8.97,34.7,18,4,0,0,0.6827444211497682
10000,6.11,55000.0,6.15,30.8,14,12,0,0,0.3145405968324877
12000,11.8,83500.0,20.79,41.4,31,12,3,0,0.7125217372110234
15000,17.97,65000.0,14.4,9.5,10,7,0,0,0.5798089296565804
2400,16.14,40000.0,18.54,53.0,21,8,1,0,0.6345037840588814
18000,8.81,85000.0,21.73,35.1,24,15,1,0,0.33191735514384574
2600,8.46,45000.0,5.95,37.7,12,4,1,0,0.7245910117343811
30000,10.33,106000.0,32.36,28.0,26,16,0,0,0.21304445044935652
5000,23.4,141000.0,31.5,87.8,26,21,0,0,0.19965824145337924
10000,8.46,60000.0,20.72,73.5,26,10,0,0,0.39093395351712934
25000,18.94,72000.0,24.92,65.2,25,17,0,0,0.18080284453274936
25000,8.19,275000.0,9.32,48.4,24,14,0,0,0.530112945131974
35000,18.94,103000.0,16.8,7.9,27,16,1,0,0.3862903167501592
21000,16.91,75000.0,10.67,6.7,8,6,2,0,0.7559603441333914
6000,10.72,35000.0,19.92,24.8,11,7,0,0,0.49101614395680593
20000,13.56,80000.0,15.18,65.6,9,6,2,0,0.6584442445989751
28000,12.98,76440.0,9.89,40.6,23,12,0,0,0.34293904502455225
15000,17.97,68000.0,23.7,89.1,21,6,1,0,0.634144941604231
32000,16.14,160000.0,36.61,72.0,35,20,0,0,0.1708204335679529
20000,22.35,95000.0,17.95,64.8,16,7,1,0,0.6608840956577116
23000,15.02,46000.0,35.3,87.5,22,6,0,0,0.4282150049603481
21000,19.92,68000.0,17.58,40.5,29,23,0,0,0.11406322757160994
5000,13.56,125000.0,22.34,54.0,20,13,0,0,0.41805928230518086
20000,12.98,90000.0,18.27,68.2,12,9,0,0,0.3781128167484884
2000,8.46,47000.0,11.13,10.1,12,7,0,0,0.566013508927567
35000,10.72,98000.0,17.27,30.1,21,11,0,0,0.3475574579149144
20000,8.19,90000.0,14.41,55.2,31,8,0,0,0.545963466178284
10000,17.97,24000.0,13.3,83.8,4,3,0,0,0.5409494562745982
16000,6.67,62000.0,22.07,52.9,31,12,0,0,0.3385908602468035
15000,14.47,50000.0,31.78,63.4,8,8,1,0,0.431903673842493
1850,8.19,23000.0,5.01,1.0,74,9,0,0,0.8423344303528275
17000,11.55,165000.0,10.63,41.5,17,14,1,0,0.4817409046304275
5000,20.89,30000.0,0.0,0.0,5,3,1,0,0.8177616004917577
40000,15.02,125000.0,2.41,67.1,9,6,0,0,0.48576023010164554
7000,14.47,119000.0,10.79,22.8,23,6,1,0,0.8255730327442119
15000,8.19,62000.0,25.22,51.8,38,13,0,0,0.3566119628088746
26000,12.98,70000.0,19.92,52.2,11,7,0,0,0.41336490707425777
10000,7.02,120000.0,22.06,7.7,25,11,0,0,0.52989292427358
20000,27.27,85000.0,21.5,49.1,20,11,0,0,0.4800811879484404
10000,11.31,20800.0,11.37,32.8,7,7,0,0,0.4333478070771692
10500,8.19,73000.0,23.39,70.9,26,11,2,0,0.5459416672145873
4000,8.19,40000.0,15.69,16.7,11,8,0,0,0.4724605434098047
40000,7.56,151785.0,15.81,8.9,49,20,1,0,0.34196449062532625
8000,15.02,80000.0,24.74,34.9,21,10,0,0,0.5017690278380205
25000,22.35,93000.0,22.49,66.0,30,13,1,0,0.47813323990504863
19500,8.81,94000.0,5.6,7.0,15,8,2,0,0.7194755506635063
16000,11.55,56280.0,25.78,38.8,15,10,0,0,0.3500049292031034
10000,15.02,40000.0,16.14,83.1,22,3,0,0,0.6586285279501589
7000,13.56,112000.0,23.42,79.1,25,14,0,0,0.34185329677286874
12000,11.8,30000.0,36.48,44.4,14,9,0,0,0.33194892240627116
2900,8.46,40000.0,23.94,10.5,26,15,0,0,0.30122440877725415
15000,12.98,70000.0,23.56,15.2,62,17,2,0,0.6557286797085493
