feature,category,rows,mean_shap
sub_grade,A1,326,-0.069652672208424596
sub_grade,A2,313,-0.069233708817976303
sub_grade,A3,367,-0.069539906938945656
sub_grade,A4,521,-0.067525780948872974
sub_grade,A5,595,-0.051149249823719781
sub_grade,B1,574,-0.054595207110135796
sub_grade,B2,642,-0.056144023520211063
sub_grade,B3,687,-0.057138713025569568
sub_grade,B4,687,-0.044348078043705309
sub_grade,B5,692,-0.021935094121177216
sub_grade,C1,633,0.051428095782021239
sub_grade,C2,606,0.051180411772519495
sub_grade,C3,579,0.12176721578126627
sub_grade,C4,486,0.12366388338431662
sub_grade,C5,434,0.088585296846703299
sub_grade,D1,348,0.12550676694407253
sub_grade,D2,314,0.12263015189562715
sub_grade,D3,257,0.12277437478250319
sub_grade,D4,221,0.12110368129012848
sub_grade,D5,147,0.12260876431197559
sub_grade,E1,141,0.12382372084173392
sub_grade,E2,103,0.11431864865720792
sub_grade,E3,75,0.11650576049851603
sub_grade,E4,67,0.11709028209649001
sub_grade,E5,53,0.11889649993238498
sub_grade,F1,46,0.11227605618018574
sub_grade,F2,22,0.11058953032760875
sub_grade,F3,36,0.11044180364085769
sub_grade,F4,13,-0.026152171132253411
sub_grade,F5,6,0.10989609016043894
sub_grade,G1,5,0.13255316816810125
sub_grade,G2,1,0.10032729641576035
sub_grade,G3,2,0.099273424221374224
sub_grade,G4,1,0.12479940819416885
zip_code,010xx,17,-0.017637517886996339
zip_code,011xx,4,-0.032560395176808463
zip_code,012xx,7,-0.03663447218300158
zip_code,013xx,2,-0.022812572197454195
zip_code,014xx,4,0.055424332029085234
zip_code,015xx,22,0.0081064533037932211
zip_code,016xx,7,0.066395162021184381
zip_code,017xx,9,0.13249818545640046
zip_code,018xx,24,0.042312774762892469
zip_code,019xx,18,-0.021963005215821882
zip_code,020xx,10,-0.027079127481406534
zip_code,021xx,41,-0.072598524198368278
zip_code,022xx,2,-0.047485317340061992
zip_code,023xx,12,-0.042928050849751494
zip_code,024xx,6,-0.069091484296347941
zip_code,025xx,2,-0.026424365489758357
zip_code,026xx,7,0.13915680132005268
zip_code,027xx,14,-0.022723636808469623
zip_code,028xx,35,0.052067225135828114
zip_code,029xx,17,0.054972761883661667
zip_code,030xx,12,0.0060890653868937231
zip_code,031xx,8,-0.059965718623355729
zip_code,032xx,4,-0.065170232336331693
zip_code,033xx,4,-0.035804970524150152
zip_code,034xx,3,-0.02173460562112119
zip_code,035xx,1,-0.015854073135778225
zip_code,036xx,1,-0.029712691311520625
zip_code,037xx,1,-0.030299917337761991
zip_code,038xx,5,-0.069338815261512976
zip_code,052xx,1,-0.021053013510989572
zip_code,054xx,11,-0.028672466808320304
zip_code,056xx,4,-0.035051620612094214
zip_code,057xx,5,-0.032772924755806995
zip_code,060xx,24,-0.0809404856777486
zip_code,061xx,13,-0.041719066779667517
zip_code,062xx,6,-0.12664105046762161
zip_code,063xx,11,-0.04616326763899737
zip_code,064xx,23,0.099452410652346557
zip_code,065xx,10,0.0063804131499495195
zip_code,066xx,20,-0.010390541220200687
zip_code,067xx,10,-0.13292996508523036
zip_code,068xx,17,-0.061287586028761346
zip_code,069xx,6,-0.038029199183621736
zip_code,070xx,84,0.070644633662291303
zip_code,071xx,14,-0.050282287267631821
zip_code,072xx,3,-0.024618152391647784
zip_code,073xx,15,-0.038781072180917073
zip_code,074xx,18,-0.014263179084491255
zip_code,075xx,4,-0.0027421104282631826
zip_code,076xx,24,-0.026145330581763965
zip_code,077xx,21,-0.03495742825435226
zip_code,078xx,19,-0.05759548240976823
zip_code,079xx,5,-0.040530796107654241
zip_code,080xx,30,0.050933767326335595
zip_code,081xx,5,-0.08572289701199591
zip_code,082xx,7,0.34020071269991375
zip_code,083xx,9,0.07543260657213964
zip_code,084xx,3,-0.030041175985301486
zip_code,085xx,14,-0.028970093018432841
zip_code,086xx,4,-0.021927009282908836
zip_code,087xx,14,0.33121179304004239
zip_code,088xx,33,0.013432556720739583
zip_code,089xx,2,-0.030148322910783596
zip_code,090xx,1,-0.034023645182317007
zip_code,096xx,1,-0.02494125881389643
zip_code,100xx,82,-0.017718246322189518
zip_code,101xx,1,-0.022896148187231558
zip_code,102xx,1,-0.026529058793311126
zip_code,103xx,30,0.026516752148464117
zip_code,104xx,80,0.028811283556875195
zip_code,105xx,30,-0.24013521876812899
zip_code,106xx,2,0.35499569039149603
zip_code,107xx,7,0.14107132150018689
zip_code,108xx,11,-0.029374343169187134
zip_code,109xx,26,-0.0362581657083514
zip_code,110xx,17,-0.18646078246807379
zip_code,111xx,14,0.017473764619285546
zip_code,112xx,116,-0.026036004757920179
zip_code,113xx,69,0.027364688095138204
zip_code,114xx,41,0.046968641546461083
zip_code,115xx,34,-0.015224998743635823
zip_code,116xx,6,-0.076637279992133558
zip_code,117xx,66,0.01292320577190941
zip_code,118xx,5,-0.03669482100310148
zip_code,119xx,9,-0.030494415792343785
zip_code,120xx,17,-0.016042147874471623
zip_code,121xx,10,0.049717125234941623
zip_code,122xx,5,-0.034076461440159925
zip_code,123xx,2,0.064715889673764626
zip_code,124xx,2,-0.029585259609193688
zip_code,125xx,11,-0.039693648825666956
zip_code,126xx,1,-0.020394978456756696
zip_code,127xx,4,-0.03118841967556827
zip_code,128xx,10,0.072495989067945035
zip_code,129xx,6,0.0043256658407789294
zip_code,130xx,14,-0.091392555300440062
zip_code,131xx,5,-0.033207442552568904
zip_code,132xx,8,0.14937539492124391
zip_code,133xx,3,-0.033046277306886453
zip_code,134xx,10,-0.027657480111333226
zip_code,135xx,2,-0.030064591346031837
zip_code,136xx,5,-0.0024800460230949245
zip_code,137xx,6,-0.026806458822226296
zip_code,138xx,5,-0.02630042881028714
zip_code,140xx,20,0.10746594363288524
zip_code,141xx,6,-0.045616519666880739
zip_code,142xx,28,0.042114531633682437
zip_code,143xx,3,-0.031884381343081331
zip_code,144xx,11,-0.010751590481822124
zip_code,145xx,16,0.011295028047796826
zip_code,146xx,23,-0.17630043601191958
zip_code,147xx,1,-0.011055910392300377
zip_code,148xx,7,0.067275316553869424
zip_code,149xx,1,-0.032577139905621104
zip_code,150xx,13,-0.02745569433843768
zip_code,151xx,18,0.0053920258587632263
zip_code,152xx,28,-0.27548339767875646
zip_code,153xx,5,-0.027942801297171312
zip_code,154xx,2,-0.023457611363664171
zip_code,155xx,3,-0.021777154520371836
zip_code,156xx,11,-0.052283922593362793
zip_code,157xx,2,-0.033478270561266697
zip_code,158xx,2,-0.027740414547825363
zip_code,159xx,2,-0.032407495752707148
zip_code,160xx,6,-0.036607489691338084
zip_code,161xx,7,-0.0063367208611073119
zip_code,162xx,2,-0.038365865999392602
zip_code,163xx,3,-0.026519655825314587
zip_code,164xx,1,-0.029061661586263811
zip_code,165xx,2,-0.032150194606213198
zip_code,166xx,5,-0.034017813824718204
zip_code,167xx,3,-0.033128018282772009
zip_code,168xx,1,-0.032753763471442314
zip_code,169xx,1,-0.042681023098879195
zip_code,170xx,11,-0.031697857972543902
zip_code,171xx,3,-0.028851232450078659
zip_code,172xx,7,0.014500908385967107
zip_code,173xx,12,-0.14320800437434192
zip_code,174xx,2,-0.036018937510431628
zip_code,175xx,12,-0.051056426303933533
zip_code,176xx,4,-0.031008359730130809
zip_code,177xx,6,-0.026803201991551406
zip_code,178xx,2,-0.029955087201605526
zip_code,179xx,1,-0.033552478208208877
zip_code,180xx,13,0.0022040462006332859
zip_code,181xx,2,0.013012239414352009
zip_code,183xx,3,-0.031605851766044336
zip_code,184xx,7,-0.10160380202859605
zip_code,185xx,5,-0.043979531348999415
zip_code,186xx,5,-0.031403158626253674
zip_code,187xx,1,0.25546589468411213
zip_code,188xx,1,-0.027118470117854086
zip_code,189xx,20,0.29944240061120664
zip_code,190xx,31,-0.085574238372601114
zip_code,191xx,29,-0.056632978656997464
zip_code,193xx,7,-0.010372864740421544
zip_code,194xx,17,-0.11344901284480893
zip_code,195xx,7,-0.03251986411337178
zip_code,196xx,7,-0.028198583166048282
zip_code,197xx,14,0.0065740311063464943
zip_code,198xx,7,0.12316610481874782
zip_code,199xx,9,-0.036159117555590564
zip_code,200xx,29,-0.21817962006112637
zip_code,201xx,45,-0.14593502803879305
zip_code,206xx,16,-0.031581728256253612
zip_code,207xx,53,0.059655036943331768
zip_code,208xx,20,-0.054357846114844469
zip_code,209xx,18,-0.035500029711800739
zip_code,210xx,23,0.0030884663594674508
zip_code,211xx,15,-0.016218594613542279
zip_code,212xx,34,-0.063084048629879097
zip_code,214xx,4,-0.14493438289009514
zip_code,215xx,1,0.023100546883290385
zip_code,216xx,4,-0.030237072583429551
zip_code,217xx,23,-0.020148513822713154
zip_code,218xx,4,-0.033297047371829369
zip_code,219xx,4,-0.025196308032186348
zip_code,220xx,25,-0.040116869249520723
zip_code,221xx,24,-0.070087272199034864
zip_code,222xx,13,-0.092187842670840986
zip_code,223xx,17,-0.022626833973862413
zip_code,224xx,10,0.0016104544930263241
zip_code,225xx,10,-0.057154812407023456
zip_code,226xx,7,0.0014779585417992803
zip_code,227xx,2,-0.031444240155024103
zip_code,228xx,4,0.12494092943242735
zip_code,229xx,9,-0.0074909657139040874
zip_code,230xx,5,-0.026849206599018998
zip_code,231xx,7,0.0027631630011606232
zip_code,232xx,13,-0.02410137606778124
zip_code,233xx,14,0.0075363028115071964
zip_code,234xx,17,-0.018445322190298492
zip_code,235xx,8,-0.0319900470726905
zip_code,236xx,10,-0.17461498485056853
zip_code,237xx,2,-0.032152327139843284
zip_code,238xx,10,0.038051291433132052
zip_code,240xx,11,-0.035092137178992018
zip_code,241xx,2,-0.064603357007020523
zip_code,242xx,6,-0.03114324594614289
zip_code,243xx,1,-0.019652853401069269
zip_code,244xx,4,-0.033719730905495099
zip_code,245xx,9,0.061104781378291922
zip_code,246xx,1,-0.020494980481071391
zip_code,247xx,4,-0.032058360159360276
zip_code,248xx,1,-0.028386694427339793
zip_code,250xx,1,-0.036554667692576856
zip_code,251xx,3,-0.035144715053686375
zip_code,252xx,1,-0.031889419663023839
zip_code,253xx,2,-0.028041139740087609
zip_code,254xx,10,-0.15094003669766509
zip_code,255xx,2,-0.024946308396077071
zip_code,256xx,1,-0.031277707219898539
zip_code,257xx,1,-0.031459984092711044
zip_code,258xx,3,-0.029491824638714637
zip_code,260xx,2,-0.029814215833753585
zip_code,261xx,6,-0.0270956478538707
zip_code,262xx,1,-0.031684021734074308
zip_code,263xx,1,-0.030968305682266314
zip_code,265xx,3,-0.026097541816893957
zip_code,268xx,1,-0.041556287887479497
zip_code,270xx,6,-0.034353819808064089
zip_code,271xx,8,-0.051302463352380145
zip_code,272xx,8,-0.03973725211366036
zip_code,273xx,7,-0.072248234870725167
zip_code,274xx,8,-0.025409277265813008
zip_code,275xx,36,-0.12083241422223129
zip_code,276xx,16,0.043412970264447653
zip_code,277xx,7,-0.014649572949972486
zip_code,278xx,12,0.0033392201437036453
zip_code,279xx,2,-0.0072702106224697
zip_code,280xx,15,-0.057959956728369635
zip_code,281xx,15,-0.11135864527071541
zip_code,282xx,32,-0.02206437014542853
zip_code,283xx,21,0.032617920983746274
zip_code,284xx,14,-0.0013976727791571903
zip_code,285xx,11,0.018524228005292562
zip_code,286xx,15,0.062573188029500265
zip_code,287xx,9,0.03300736899256438
zip_code,288xx,5,-0.025672129460085142
zip_code,290xx,11,0.033628295773657509
zip_code,291xx,7,-0.020603359430757268
zip_code,292xx,10,-0.036136376847817522
zip_code,293xx,5,-0.21855060300806084
zip_code,294xx,30,-0.022629714101997059
zip_code,295xx,13,-0.0022442461770662238
zip_code,296xx,32,0.0034894912746862446
zip_code,297xx,9,-0.037540477372093727
zip_code,298xx,8,-0.026040683798397413
zip_code,299xx,5,0.085405673525126152
zip_code,300xx,81,0.063812768896018252
zip_code,301xx,37,0.0098627961039923044
zip_code,302xx,34,0.12334430079046112
zip_code,303xx,28,-0.053436829201381549
zip_code,304xx,6,-0.037126353725550544
zip_code,305xx,18,0.054272881946817106
zip_code,306xx,8,-0.088228616994372774
zip_code,307xx,11,-0.061854849078811232
zip_code,308xx,5,-0.0018727420248399352
zip_code,309xx,6,0.037744428859464808
zip_code,310xx,7,0.11421997110764885
zip_code,312xx,7,-0.034794235298860186
zip_code,313xx,3,-0.1860614347953341
zip_code,314xx,6,-0.035529252340421286
zip_code,315xx,5,0.012954744461166141
zip_code,316xx,5,0.22429648599696145
zip_code,317xx,7,-0.021347939797785771
zip_code,319xx,7,-0.13082509659608335
zip_code,320xx,19,0.066646513694794629
zip_code,321xx,18,0.15202656899161765
zip_code,322xx,28,0.056649096665998509
zip_code,323xx,12,0.091902578700494994
zip_code,324xx,9,-0.030862428483467444
zip_code,325xx,23,0.29215633713584471
zip_code,326xx,6,-0.1060983863888235
zip_code,327xx,47,-0.0071969891524504481
zip_code,328xx,37,-0.059610038694819047
zip_code,329xx,13,0.084376434472112655
zip_code,330xx,71,0.069967436630929053
zip_code,331xx,96,0.21148431508976184
zip_code,333xx,41,0.11795567828441114
zip_code,334xx,69,0.028429571439922578
zip_code,335xx,31,0.1183782356462733
zip_code,336xx,18,0.030698723161437409
zip_code,337xx,28,0.020919489553532188
zip_code,338xx,15,0.0399465997168287
zip_code,339xx,32,-0.027391843667270942
zip_code,341xx,9,0.12280673678995396
zip_code,342xx,26,0.064350269405301586
zip_code,344xx,9,0.12629963960034649
zip_code,346xx,29,0.20091973776411667
zip_code,347xx,25,0.11303901142762283
zip_code,349xx,24,0.0078848438381966569
zip_code,350xx,15,0.018945305646067036
zip_code,351xx,9,-0.021943056053710455
zip_code,352xx,16,-0.014929541906752225
zip_code,354xx,2,0.18953030465024101
zip_code,355xx,6,-0.029548028366343498
zip_code,356xx,8,-0.080002718838698347
zip_code,357xx,8,-0.033080686025009833
zip_code,358xx,8,0.17976298763607332
zip_code,359xx,7,0.11825008876965361
zip_code,360xx,6,-0.022729844209289782
zip_code,361xx,9,0.056944848798591359
zip_code,362xx,4,-0.034604426487722162
zip_code,363xx,5,0.04671488138024836
zip_code,365xx,9,-0.0301448273234621
zip_code,366xx,6,-0.035338013749552012
zip_code,367xx,2,-0.035091413054328467
zip_code,368xx,8,-0.034185017441230869
zip_code,370xx,30,-0.030320176065422852
zip_code,371xx,14,-0.028696754843370309
zip_code,372xx,15,-0.032422092362727424
zip_code,373xx,10,-0.028875343490703836
zip_code,374xx,4,-0.032358681822379762
zip_code,376xx,5,-0.032203660436606725
zip_code,378xx,19,-0.030629374487542549
zip_code,379xx,19,-0.033426182092740349
zip_code,380xx,17,-0.032919847465994745
zip_code,381xx,27,-0.032527959395545251
zip_code,383xx,5,-0.030238204002593517
zip_code,384xx,5,-0.025523097232526881
zip_code,385xx,4,-0.029914726141737329
zip_code,386xx,9,-0.032557604056052833
zip_code,388xx,3,-0.036844370071423167
zip_code,390xx,7,-0.032832782050996087
zip_code,391xx,5,-0.036300628148984895
zip_code,392xx,5,-0.024875738219258987
zip_code,394xx,4,-0.031313226685398349
zip_code,395xx,7,-0.031880274897412415
zip_code,396xx,3,-0.023058979761958576
zip_code,397xx,1,-0.042168794911869839
zip_code,398xx,1,-0.022538004055826889
zip_code,400xx,9,0.088814937530354368
zip_code,402xx,13,-0.02405351238167697
zip_code,403xx,8,-0.12356937787543956
zip_code,404xx,4,-0.033203783841164722
zip_code,405xx,9,-0.032074289939439206
zip_code,407xx,1,-0.035195650147805818
zip_code,409xx,1,-0.024799367255974508
zip_code,410xx,16,-0.1035959284332188
zip_code,411xx,2,-0.024359693632392466
zip_code,412xx,2,-0.018557249154845419
zip_code,413xx,1,-0.032017357428965158
zip_code,416xx,1,-0.046231205569131836
zip_code,417xx,2,-0.040396662620128601
zip_code,420xx,2,-0.03452283102099972
zip_code,421xx,5,-0.027672300285989881
zip_code,422xx,1,-0.022217309432999759
zip_code,423xx,2,-0.042089756175262352
zip_code,424xx,1,-0.036202200390706332
zip_code,425xx,1,-0.031662050897218651
zip_code,427xx,1,-0.011918604529933029
zip_code,430xx,22,-0.095106495401065652
zip_code,431xx,11,-0.13688395287444008
zip_code,432xx,41,0.017610693443520505
zip_code,433xx,3,-0.025560987829903344
zip_code,434xx,5,-0.023506936894547196
zip_code,435xx,7,-0.043052399363132376
zip_code,436xx,8,-0.036096493931111716
zip_code,437xx,3,-0.024413183408048333
zip_code,438xx,3,-0.029591384115598914
zip_code,439xx,4,0.060932654675360215
zip_code,440xx,23,-0.011798552563174613
zip_code,441xx,34,-0.022992614355962952
zip_code,442xx,11,-0.045002879918649916
zip_code,443xx,8,0.11480558548837587
zip_code,444xx,6,0.011342967462758381
zip_code,445xx,8,-0.02881634998874091
