importance_rank,feature,mean_abs_shap,importance_share
1,int_rate,0.22022096824049991,0.35244130470689533
2,annual_inc,0.09170504778723447,0.14676461986600761
3,sub_grade,0.074486840400274826,0.11920862678933224
4,zip_code,0.064130139892641963,0.1026337789511262
5,acc_open_past_24mths,0.040744104547277511,0.065206803332525556
6,earliest_cr_line,0.038602345621951938,0.061779135585714857
7,log_annual_inc,0.026779893338096411,0.042858500820333913
8,purpose,0.022385838288026375,0.03582626175984012
9,loan_to_inc_ratio,0.021638214828192164,0.034629766304758405
10,inq_last_6mths,0.014229667645482507,0.022773138591609555
11,bc_open_to_buy,0.0058935754373991662,0.0094320692218420443
12,revol_util,0.00098230340034972832,0.0015720768771627306
13,addr_state,0.00089147965899433093,0.0014267226987781357
14,open_acc_ratio,0.00067725787695654645,0.0010838824826022633
15,mo_sin_rcnt_rev_tl_op,0.00035855185767654939,0.00057382585107245126
16,mo_sin_old_il_acct,0.00032207478814007484,0.00051544800412156794
17,dti,0.0002969927514354856,0.00047530675049117929
18,loan_amnt,0.00014410940437337914,0.00023063247293700128
19,emp_length_num,0.00012168535680485337,0.00019474506110240346
20,mths_since_last_delinq,0.00012052080266227705,0.00019288131041285427
21,installment,0.00011276726554732295,0.00018047256133359562
22,acc_now_delinq,0,0
23,application_type,0,0
24,avg_cur_bal,0,0
25,bc_util,0,0
26,chargeoff_within_12_mths,0,0
27,collections_12_mths_ex_med,0,0
28,delinq_2yrs,0,0
29,delinq_amnt,0,0
30,emp_length,0,0
31,grade,0,0
32,home_ownership,0,0
33,initial_list_status,0,0
34,log_loan_amnt,0,0
35,mo_sin_old_rev_tl_op,0,0
36,mo_sin_rcnt_tl,0,0
37,mort_acc,0,0
38,mths_since_recent_bc,0,0
39,mths_since_recent_inq,0,0
40,num_accts_ever_120_pd,0,0
41,num_actv_bc_tl,0,0
42,num_actv_rev_tl,0,0
43,num_bc_sats,0,0
44,num_bc_tl,0,0
45,num_il_tl,0,0
46,num_op_rev_tl,0,0
47,num_rev_accts,0,0
48,num_rev_tl_bal_gt_0,0,0
49,num_sats,0,0
50,num_tl_120dpd_2m,0,0
51,num_tl_30dpd,0,0
52,num_tl_90g_dpd_24m,0,0
53,num_tl_op_past_12m,0,0
54,open_acc,0,0
55,pct_tl_nvr_dlq,0,0
56,percent_bc_gt_75,0,0
57,policy_code,0,0
58,pub_rec,0,0
59,pub_rec_bankruptcies,0,0
60,revol_bal,0,0
61,tax_liens,0,0
62,term,0,0
63,tot_coll_amt,0,0
64,tot_cur_bal,0,0
65,tot_hi_cred_lim,0,0
66,total_acc,0,0
67,total_bal_ex_mort,0,0
68,total_bal_to_inc_ratio,0,0
69,total_bc_limit,0,0
70,total_il_high_credit_limit,0,0
71,total_rev_hi_lim,0,0
72,verification_status,0,0
