model,bin_lower,bin_upper,rows,defaults,mean_probability,observed_default_rate
baseline,0,0.10000000000000001,55353,3984,0.075188738586216053,0.071974418730692102
baseline,0.10000000000000001,0.20000000000000001,88286,13820,0.14354279160467537,0.15653671023718368
baseline,0.20000000000000001,0.29999999999999999,18410,4368,0.22934187981970527,0.23726235741444868
baseline,0.29999999999999999,0.40000000000000002,519,143,0.31950555116602619,0.27552986512524086
baseline,0.40000000000000002,0.5,2,0,0.41834422883070299,0
baseline,0.5,0.59999999999999998,0,0,,
baseline,0.59999999999999998,0.69999999999999996,0,0,,
baseline,0.69999999999999996,0.80000000000000004,0,0,,
baseline,0.80000000000000004,0.90000000000000002,0,0,,
baseline,0.90000000000000002,1,0,0,,
tuned,0,0.10000000000000001,47587,2898,0.077440698472882499,0.060898985016916388
tuned,0.10000000000000001,0.20000000000000001,102368,16150,0.14551470803484465,0.15776414504532665
tuned,0.20000000000000001,0.29999999999999999,12600,3261,0.21905132284644158,0.25880952380952382
tuned,0.29999999999999999,0.40000000000000002,15,6,0.3107139476989057,0.40000000000000002
tuned,0.40000000000000002,0.5,0,0,,
tuned,0.5,0.59999999999999998,0,0,,
tuned,0.59999999999999998,0.69999999999999996,0,0,,
tuned,0.69999999999999996,0.80000000000000004,0,0,,
tuned,0.80000000000000004,0.90000000000000002,0,0,,
tuned,0.90000000000000002,1,0,0,,
