feature,importance,importance_rank
int_rate,16683.327074050903,1
zip_code,11118.219074249268,2
earliest_cr_line,6231.3932709693909,3
annual_inc,4451.9535884857178,4
sub_grade,3774.3417472839355,5
purpose,1738.5498962402344,6
log_annual_inc,1311.9610061645508,7
acc_open_past_24mths,1200.005989074707,8
loan_to_inc_ratio,927.23534774780273,9
inq_last_6mths,606.10920715332031,10
bc_open_to_buy,455.25534820556641,11
addr_state,112.5403003692627,12
revol_util,80.488361835479736,13
open_acc_ratio,60.419509887695312,14
loan_amnt,44.004400253295898,15
dti,29.672300338745117,16
mo_sin_rcnt_rev_tl_op,21.577199935913086,17
mo_sin_old_il_acct,18.162700653076172,18
installment,17.566200256347656,19
mths_since_last_delinq,16.632400512695312,20
emp_length_num,16.545700073242188,21
acc_now_delinq,0,22
application_type,0,23
avg_cur_bal,0,24
bc_util,0,25
chargeoff_within_12_mths,0,26
collections_12_mths_ex_med,0,27
delinq_2yrs,0,28
delinq_amnt,0,29
emp_length,0,30
grade,0,31
home_ownership,0,32
initial_list_status,0,33
log_loan_amnt,0,34
mo_sin_old_rev_tl_op,0,35
mo_sin_rcnt_tl,0,36
mort_acc,0,37
mths_since_recent_bc,0,38
mths_since_recent_inq,0,39
num_accts_ever_120_pd,0,40
num_actv_bc_tl,0,41
num_actv_rev_tl,0,42
num_bc_sats,0,43
num_bc_tl,0,44
num_il_tl,0,45
num_op_rev_tl,0,46
num_rev_accts,0,47
num_rev_tl_bal_gt_0,0,48
num_sats,0,49
num_tl_120dpd_2m,0,50
num_tl_30dpd,0,51
num_tl_90g_dpd_24m,0,52
num_tl_op_past_12m,0,53
open_acc,0,54
pct_tl_nvr_dlq,0,55
percent_bc_gt_75,0,56
policy_code,0,57
pub_rec,0,58
pub_rec_bankruptcies,0,59
revol_bal,0,60
tax_liens,0,61
term,0,62
tot_coll_amt,0,63
tot_cur_bal,0,64
tot_hi_cred_lim,0,65
total_acc,0,66
total_bal_ex_mort,0,67
total_bal_to_inc_ratio,0,68
total_bc_limit,0,69
total_il_high_credit_limit,0,70
total_rev_hi_lim,0,71
verification_status,0,72
