column_name,dtype,non_null_count,null_count,null_pct,n_unique,sample_values,is_fully_null
id,float64,0,50000,100.0,0,,True
member_id,float64,0,50000,100.0,0,,True
url,float64,0,50000,100.0,0,,True
desc,float64,0,50000,100.0,0,,True
hardship_type,float64,0,50000,100.0,0,,True
hardship_reason,float64,0,50000,100.0,0,,True
hardship_status,float64,0,50000,100.0,0,,True
deferral_term,float64,0,50000,100.0,0,,True
hardship_amount,float64,0,50000,100.0,0,,True
hardship_start_date,float64,0,50000,100.0,0,,True
hardship_end_date,float64,0,50000,100.0,0,,True
payment_plan_start_date,float64,0,50000,100.0,0,,True
hardship_length,float64,0,50000,100.0,0,,True
hardship_dpd,float64,0,50000,100.0,0,,True
hardship_loan_status,float64,0,50000,100.0,0,,True
orig_projected_additional_accrued_interest,float64,0,50000,100.0,0,,True
hardship_payoff_balance_amount,float64,0,50000,100.0,0,,True
hardship_last_payment_amount,float64,0,50000,100.0,0,,True
debt_settlement_flag_date,float64,0,50000,100.0,0,,True
settlement_status,float64,0,50000,100.0,0,,True
settlement_date,float64,0,50000,100.0,0,,True
settlement_amount,float64,0,50000,100.0,0,,True
settlement_percentage,float64,0,50000,100.0,0,,True
settlement_term,float64,0,50000,100.0,0,,True
sec_app_mths_since_last_major_derog,float64,1908,48092,96.18,101,"46.0, 25.0, 37.0",False
verification_status_joint,str,5611,44389,88.78,3,"Verified, Not Verified, Source Verified",False
mths_since_last_record,float64,5968,44032,88.06,109,"45.0, 75.0, 100.0",False
sec_app_revol_util,float64,6190,43810,87.62,1024,"44.1, 78.9, 47.9",False
sec_app_inq_last_6mths,float64,6280,43720,87.44,7,"2.0, 0.0, 0.0",False
sec_app_chargeoff_within_12_mths,float64,6280,43720,87.44,8,"0.0, 0.0, 0.0",False
sec_app_collections_12_mths_ex_med,float64,6280,43720,87.44,8,"0.0, 0.0, 0.0",False
sec_app_mort_acc,float64,6280,43720,87.44,15,"3.0, 2.0, 3.0",False
sec_app_open_act_il,float64,6280,43720,87.44,29,"0.0, 1.0, 0.0",False
sec_app_open_acc,float64,6280,43720,87.44,50,"2.0, 9.0, 6.0",False
sec_app_num_rev_accts,float64,6280,43720,87.44,56,"6.0, 12.0, 21.0",False
sec_app_earliest_cr_line,str,6280,43720,87.44,508,"May-2002, Aug-2003, May-2003",False
annual_inc_joint,float64,6280,43720,87.44,1548,"104424.0, 64793.0, 59500.0",False
dti_joint,float64,6280,43720,87.44,2740,"10.77, 18.91, 10.59",False
revol_bal_joint,float64,6280,43720,87.44,6019,"10286.0, 24654.0, 6902.0",False
mths_since_recent_bc_dlq,float64,10028,39972,79.94,133,"33.0, 22.0, 48.0",False
mths_since_last_major_derog,float64,11422,38578,77.16,137,"45.0, 22.0, 6.0",False
mths_since_recent_revol_delinq,float64,14581,35419,70.84,134,"32.0, 17.0, 22.0",False
mths_since_last_delinq,float64,22142,27858,55.72,122,"71.0, 32.0, 17.0",False
emp_title,str,41691,8309,16.62,20122,"Chef, Postmaster , Administrative",False
il_util,float64,42373,7627,15.25,179,"69.0, 88.0, 72.0",False
mths_since_recent_inq,float64,43976,6024,12.05,25,"2.0, 4.0, 14.0",False
emp_length,str,45470,4530,9.06,11,"10+ years, 10+ years, 6 years",False
mths_since_rcnt_il,float64,48343,1657,3.31,240,"2.0, 3.0, 14.0",False
mo_sin_old_il_acct,float64,48343,1657,3.31,401,"140.0, 163.0, 87.0",False
num_tl_120dpd_2m,float64,48879,1121,2.24,1,"0.0, 0.0, 0.0",False
