trial,status,max_depth,num_leaves,subsample,subsample_freq,min_child_samples,colsample_bytree,min_split_gain,n_estimators,learning_rate,reg_alpha,reg_lambda,roc_auc,average_precision,log_loss,brier_score,best_iteration,evaluated_iterations,reached_estimator_cap,elapsed_seconds
1,complete,3,8,0.84999999999999998,1,100,0.84999999999999998,0.10000000000000001,1500,0.063955418236131573,0.00029572411409066154,23.33348279142777,0.65726364699963213,0.19471525523124905,0.35856828407356445,0.10484775449563417,39,89,False,1.0700069000013173
2,complete,9,63,1,0,200,0.84999999999999998,0,1500,0.038267517532908232,0.0071448007371029626,14.100653144279937,0.64868340710665251,0.19334489130421351,0.35961109761033944,0.10505590411057407,32,82,False,1.5149674999993294
3,complete,9,31,0.84999999999999998,1,400,0.84999999999999998,0.01,1500,0.02406070084223404,0.059282148520287944,0.0019307124350040098,0.64655230176227851,0.19006601210427901,0.36205090580065191,0.10552769677200637,31,81,False,1.3250066998880357
4,complete,-1,63,0.69999999999999996,1,200,0.69999999999999996,0.10000000000000001,1500,0.031351628980695725,7.1365797279140093,9.9680809295720767,0.65285126636802038,0.19716613941425093,0.3599153763012069,0.10507015167937381,34,84,False,1.5289257999975234
5,complete,9,63,1,0,20,0.84999999999999998,0.01,1500,0.016430470550650854,0.00059080948686646357,1.1431230621006638,0.64715474376973003,0.19290646838750672,0.3601796582622504,0.10515593207050106,65,115,False,2.0810813999269158
6,complete,-1,31,0.84999999999999998,1,400,0.84999999999999998,0.01,1500,0.032407811951480132,0.022273017401870748,0.0070515769407301955,0.64567816847683035,0.18978339123643737,0.36096766443818767,0.10532352274747593,31,81,False,1.4166115999687463
7,complete,7,7,1,0,100,0.69999999999999996,0,1500,0.06039396887206077,0.015337677238333257,5.3456589789098432,0.65949960056840518,0.19695350145454246,0.35772641116941206,0.10467666573678808,45,95,False,1.215733699966222
8,complete,9,31,0.69999999999999996,1,50,1,0.10000000000000001,1500,0.079958730861935057,0.0086574879381490794,0.019537989975435054,0.63868939331359598,0.18726591223452554,0.36174621146980146,0.10588374929673192,40,90,False,1.6553609000984579
9,complete,5,31,0.84999999999999998,1,20,1,0,1500,0.015231407983489114,0.860244466097146,0.94758439762100644,0.65204618557288141,0.19259430326664601,0.35855518764125477,0.10492845182052049,155,205,False,2.6123424000106752
10,complete,7,31,0.69999999999999996,1,200,0.84999999999999998,0.01,1500,0.048945834603450041,0.00050001725391579221,0.0032566045590949415,0.64849295394459683,0.1910465580154454,0.35950126815168382,0.1050883110983192,32,82,False,1.3489794000051916
11,complete,7,31,0.84999999999999998,1,100,1,0.050000000000000003,1500,0.073612923735382099,0.14913912817607755,0.30091379707933252,0.64305104577296091,0.18756126743921034,0.36028484971673225,0.10533237298532522,23,73,False,1.336375999962911
12,complete,3,8,1,0,50,0.84999999999999998,0,1500,0.037195153935643807,0.0011828328138181756,0.067457815615871511,0.65963370851700132,0.19656788577315806,0.35860872620344814,0.10483188877736119,57,107,False,1.2475717000197619
13,complete,-1,63,0.69999999999999996,1,50,1,0,1500,0.026928132429102025,0.0029374385413397696,0.91934918823119816,0.64435609049204157,0.19379557838902189,0.36163855437035985,0.10540876869041702,29,79,False,1.9214641998987645
14,complete,3,8,0.84999999999999998,1,200,1,0.050000000000000003,1500,0.034921682898282708,1.1751733206453638,0.0055918821331028979,0.6561988339068322,0.19339041279672942,0.35874842693865977,0.1048981511830878,73,123,False,1.3640074001159519
15,complete,5,7,0.69999999999999996,1,20,1,0.050000000000000003,1500,0.039192950672540305,0.0006402637223214795,0.17508067494889057,0.65378942511440852,0.19109170707093118,0.35937313836969115,0.10502315860885439,54,104,False,1.2458232000935823
16,complete,-1,7,0.84999999999999998,1,200,0.84999999999999998,0.01,1500,0.033127427575160691,0.0032178103610692012,0.66351629676765222,0.65593216002348564,0.19302214559331796,0.35871426283177082,0.10489333479931172,72,122,False,1.4359693999867886
17,complete,9,15,1,0,20,0.84999999999999998,0,1500,0.11085911529856204,3.4906270796320431,1.3572932236507884,0.65140097458872026,0.19090688304763243,0.36022583828620802,0.105169867616399,11,61,False,1.016558300005272
18,complete,7,15,1,0,400,0.69999999999999996,0.10000000000000001,1500,0.066605119320214595,0.017652552456354418,0.01655230510381471,0.65192559375873982,0.19344674261197917,0.3585701140708642,0.1049152472570863,33,83,False,1.2217701999470592
19,complete,3,7,0.84999999999999998,1,400,0.69999999999999996,0.01,1500,0.022847757863076506,0.0033867498539891434,0.39195503098728124,0.65888235871488299,0.19593626895545155,0.35807221329110267,0.10475275790873172,129,179,False,1.6502974999602884
20,complete,7,7,0.84999999999999998,1,400,0.69999999999999996,0.10000000000000001,1500,0.066962406131985008,0.014469888975382499,0.64348398693916453,0.65889111025136371,0.19501084710876349,0.35849475235534461,0.10481396171435277,33,83,False,1.0551766001153737
21,complete,3,8,0.69999999999999996,1,200,0.84999999999999998,0,1500,0.035612524454746164,0.00016146220135733705,0.16280089814015439,0.65546751147406956,0.19308912472731765,0.3592241390005721,0.10497653870464174,62,112,False,1.1938225000631064
22,complete,3,8,0.84999999999999998,1,20,1,0,1500,0.050908135115174329,0.00071279532507709383,13.863565708137685,0.6577448342325114,0.19404008760178729,0.35925372457168397,0.10496836448336774,38,88,False,1.0265073999762535
23,complete,-1,31,0.84999999999999998,1,50,0.84999999999999998,0.050000000000000003,1500,0.015728423944951827,6.2057755814873241,0.14432147830563022,0.64877354816180244,0.19285899706676846,0.36107227254179985,0.10531888380180025,58,108,False,1.7724200000520796
24,complete,7,63,0.69999999999999996,1,20,0.69999999999999996,0.01,1500,0.041614418674045986,4.8880121288966594,0.36282383981481864,0.65622273672723108,0.19649315374665263,0.35894829286371283,0.10488168032113553,30,80,False,1.3932193000800908
